country,population,area,density,log_population,log_area,pop_per_km,area_category,pop_category
Vietnam,97000000,331210,292.8655535762809,7.986771734266245,5.520103440670985,97000.0,Medium,Large
Thailand,70000000,513120,136.42033052697224,7.845098040014257,5.7102189425843655,70000.0,Large,Large
Singapore,5900000,719,8205.841446453407,6.770852011642144,2.8567288903828825,5900.0,Small,Medium
Malaysia,32700000,329847,99.13687255000046,7.514547752660286,5.518312538471434,32700.0,Medium,Medium
Philippines,109000000,300000,363.3333333333333,8.037426497940624,5.477121254719663,109000.0,Medium,Large
Indonesia,273500000,1904569,143.6020432969349,8.436957330669449,6.27979671119304,273500.0,Large,Large
Myanmar,54400000,676578,80.40462444832673,7.7355988996981795,5.830317871911998,54400.0,Large,Large
Cambodia,16700000,181035,92.24735548374623,7.222716471147583,5.257762546346605,16700.0,Medium,Medium
Laos,7300000,236800,30.8277027027027,6.863322860120456,5.3743816980508825,7300.0,Medium,Medium
Brunei,437000,5765,75.80225498699046,5.640481436970422,3.7607993116307177,437.0,Small,Small
